Kundenname;IP-Adresse;Port;Seriennummer;Firmware;FortiCare;FortiGuard;AV-DB;FortiManager;Local-in-policy;Uptime;SSIDs;AP-Name;AP-Serials;AP-Firmware
Bachmann und Partner;83.173.194.54;8443;FG100C3G10608388;v5.2.10;;22.03.2018;53.00273;unknown;False;;Guggital++;AP01;FP221C3X14023160;FP221C-v5.2-build0262
EFZ;213.200.213.80;8443;FGT60D4614051465;v5.2.10;;26.02.2018;53.00275;unknown;False;;None;None;None;None
EFZ;109.164.213.30;8443;FGT70D3Z14000785;v5.2.10;;26.02.2018;53.00276;unknown;False;;EFZ-Gast,EFZ-intern;AP-Sommervoegel,AP-Brandschutztuere,AP-Kindergarten,AP-Empfang,AP-Fliegenpilz,AP-Delfin,AP-Geschaeftsstelle,AP-Schwalbe,AP-Sterne;FP221C3X16025877,FP221C3X16025879,FP221C3X16025888,FP221C3X16025897,FP221C3X16025898,FP221C3X16025903,FP221C3X16025904,FP221C3X16025918,FP221C3X16025928;FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262
KT Trading;212.4.67.146;8443;FG100C3G10601509;v5.2.10;;07.12.2017;53.00275;unknown;False;;None;None;None;None
Landtwing Telefon und Elektro AG;46.14.169.146;8443;FGT60D4613039816;v5.2.10;;13.07.2018;53.00289;unknown;False;;None;None;None;None
Liebfrauenschwestern;46.14.102.246;8443;FWF60D4613004790;v5.2.10;;09.07.2019;53.00275;unknown;False;;None;None;None;None
Montana;82.136.105.19;8443;FG100D3G13825334;v5.2.10;;27.10.2018;53.00289;unknown;False;;Montana-Zug;ZB-AP20,ZB-AP01,ZB-AP02,ZB-AP08,ZB-AP05,ZB-AP04,ZB-AP09,ZB-AP10,ZB-AP12,ZB-AP03,ZB-AP06,ZB-AP07,ZB-AP11,ZB-AP15,ZB-AP13,ZB-AP14,ZB-AP16,ZB-AP17,ZB-AP18,ZB-AP19,ZB-AP22,ZB-AP21;FAP2223X11000238,FP221B3X13007926,FP221B3X13030292,FP221C3X14000366,FP221C3X14000367,FP221C3X14000398,FP221C3X14000402,FP221C3X14000406,FP221C3X14000407,FP221C3X14000412,FP221C3X14000414,FP221C3X14000430,FP221C3X14000438,FP221C3X14000439,FP221C3X14000440,FP221C3X14000456,FP221C3X14004381,FP221C3X14004526,FP221C3X14027553,FP221C3X15007656,FP221C3X15021196,FP221C3X15021380;FAP222-v5.2-build0262,FP221B-v5.2-build0262,FP221B-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262
Paramed Akademie AG;217.194.55.93;8443;FG100D3G12808090;v5.2.10;;15.12.2018;53.00289;unknown;False;;None;None;None;None
Parkinson;83.173.213.70;8443;FGT60D4615061926;v5.2.10;;13.11.2018;53.00288;unknown;False;;None;None;None;None
VIC CHGEGE;213.200.193.29;8443;FGT60C3G14009041;v5.2.10;;21.07.2019;53.00288;unknown;False;;None;None;None;None
Blättler AG (ITS4Biz);46.14.49.206;8443;FGT60C3G12029562;v5.2.11;;01.05.2018;53.00273;unknown;False;;None;None;None;None
Claraspital;217.168.45.242;8443;FGT3HD3916800997;v5.2.11;;08.07.2021;53.00289;unknown;False;;None;None;None;None
Fiscom Treuhand;46.14.180.66;8443;FGT60C3G12017982;v5.2.11;;26.10.2018;53.00289;unknown;False;;None;None;None;None
